,Ids,pb_host_VDWAALS,pb_guest_VDWAALS,pb_complex_VDWAALS,gb_host_1-4EEL,gb_guest_1-4EEL,gb_Complex_1-4EEL,gb_host_EELEC,gb_guest_EELEC,gb_Complex_EELEC,gb_host_EGB,gb_guest_EGB,gb_Complex_EGB,gb_host_ESURF,gb_guest_ESURF,gb_Complex_ESURF,Ex _G_(kcal/mol)
0,cd-set1--acd-guest-1,-28.5717,-0.0564,-40.2895,423.5761,12.2487,435.8248,-428.952,16.4764,-402.7811,-96.4471,-67.4372,-162.2809,5.1691,1.4344,4.9718,1.575
1,cd-set1--acd-guest-2,-27.1334,-0.3831,-44.0766,412.6663,16.3135,428.9798,-397.9784,11.5637,-376.0288,-106.4154,-66.7869,-176.463,5.0726,1.7438,4.9888,3.533
2,cd-set1--acd-guest-3,-29.093,-0.6493,-48.7146,426.2925,16.8092,443.1017,-429.3068,11.3698,-410.1856,-95.2452,-66.0578,-163.6184,5.1352,2.0628,5.327,4.606
3,cd-set1--acd-guest-4,-29.6231,-0.0159,-43.0228,420.0687,-30.3678,389.7009,-416.5215,11.2809,-405.0136,-97.4461,-8.8723,-102.2474,5.0849,1.333,4.9451,2.13
4,cd-set1--acd-guest-5,-28.8169,-0.9041,-46.8309,425.7315,-10.9172,414.8143,-435.9689,5.6626,-431.7111,-91.2312,-7.8776,-93.5205,5.0881,1.5514,5.0142,2.51
5,cd-set1--acd-guest-6,-29.5037,-0.18,-43.3678,422.4095,-13.2848,409.1247,-421.3737,20.7874,-423.2347,-99.7968,-81.2432,-149.0374,5.1792,1.3182,4.9746,1.506
6,cd-set1--acd-guest-7,-32.1483,-0.7283,-50.323,422.3651,10.4248,432.7899,-398.7469,5.2092,-413.3124,-106.33,-80.0113,-159.1988,5.0312,1.6538,4.9003,3.38
7,cd-set1--acd-guest-8,-29.7414,-0.9808,-50.1526,418.4633,2.5746,421.0379,-421.1437,7.8669,-423.2391,-95.0137,-81.1751,-160.6604,5.1211,1.975,5.1423,4.622
8,cd-set1--acd-guest-9,-30.3947,-0.1053,-45.8539,426.4985,25.8558,452.3543,-421.9704,17.6653,-391.3273,-93.9633,-61.6305,-154.2182,5.2166,1.602,5.034,1.685
9,cd-set1--acd-guest-10,-30.6008,0.1404,-45.5654,421.9775,-70.0804,351.8971,-406.1717,75.8586,-313.0269,-103.9776,-63.6179,-172.2139,5.0478,1.5382,4.931,1.764
